score,job_title,company,location,visa_status,posted,apply_link,matches
100,Summer Internship – Research Department Machine Learning,MNC JOBS INFO,Anywhere,Not Mentioned,6 hours ago,https://theelitejob.com/job/17321/summer-internship-%E2%80%93-research-department-machine-learning?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Machine Learning, Python, Scikit-Learn, TensorFlow, PyTorch, Git, AWS"
100,Entry Level AI & Machine Learning Engineer,SynergisticIT,"Youngstown, OH",Friendly,23 hours ago,https://lensa.com/job-v1/synergisticit/youngstown-oh/machine-learning-engineer/0e6346e9a61c933520e5d79c669aedd7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, Java, Machine Learning, AWS, Power BI, SQL"
95,Machine Learning Engineer Jobs,"Synthbee, Inc.","Arlington, VA (+1 other)",Not Mentioned,16 hours ago,https://www.clearancejobs.com/jobs/8813955/machine-learning-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, RAG, Machine Learning, AWS, LLMs, Deep Learning"
95,AI Engineer,Marc Fisher Footwear,Connecticut,Not Mentioned,10 hours ago,https://www.disabledperson.com/jobs/70984414-ai-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, LLMs, RAG, Machine Learning, AWS, SQL, MongoDB"
95,Software Engineer Bigquery Ai Ml (Remote),Google,United States,Not Mentioned,20 hours ago,https://pangian.com/remote/job/software-engineer-bigquery-ai-ml-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, SQL, C++, Machine Learning, Artificial Intelligence, Natural Language Processing"
95,Applied Artificial Intelligence Scientist,Codified,"Seattle, WA",Not Mentioned,20 hours ago,https://echojobs.io/job/codified-applied-ai-scientst-xebjs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"LLMs, NLP, Machine Learning, Deep Learning, Clustering, Segmentation, RAG"
95,"Applied Scientist, Artificial General Intelligence, AGI Data Services",myGwork - LGBTQ+ Business Community,"Boston, KY",Friendly,3 hours ago,https://www.linkedin.com/jobs/view/applied-scientist-artificial-general-intelligence-agi-data-services-at-mygwork-lgbtq%2B-business-community-4386199407?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, SQL, Java, C++, LLMs, Machine Learning"
95,"Applied Scientist, Safety ML","Twitch Interactive, Inc. - D48","Irvine, CA",Not Mentioned,22 hours ago,https://www.indeed.com/viewjob?jk=917980cb979f3630&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, SQL, PyTorch, TensorFlow, AWS, NLP, Deep Learning, Machine Learning"
95,"Machine Learning Engineer, Apple Services Engineering",Apple,"Washington, DC",Not Mentioned,6 hours ago,https://www.theladders.com/job/machine-learning-engineer-apple-services-engineering-apple-washington-dc_86185694?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, TensorFlow, PyTorch, Deep Learning, LLMs, NLP"
95,AI Scientist Intern,Wyze,"Kirkland, WA",Not Mentioned,20 hours ago,https://echojobs.io/job/wyze-ai-scientist-internship-mgn3i?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, Machine Learning, Deep Learning, Scikit-Learn, PyTorch, TensorFlow"
