score,years,reason,url,flags
100,3,"The job requires a minimum of 3 years of experience, which does not exceed the candidate's maximum experience of 3 years. The location is U.S. Remote, and no sponsorship or citizenship restrictions were found. The job description explicitly requests 1 distinct technical skill (SQL) that matches the candidate's skills. Score = (1 matching skill / 1 total requested skill) * 100 = 100.",https://job-boards.greenhouse.io/tubescience52/jobs/5083931007, | Flags: Clean ✅
100,1,"The job requires 1 year of experience, which is within the candidate's max. No location or sponsorship flags were identified. The job description explicitly requests 1 distinct technical skill (Python). The candidate possesses this skill. Score = (1/1)*100 = 100.",https://www.roberthalf.com/us/en/job/piscataway-nj/data-scientist/02720-0013350865-usen, | Flags: Clean ✅
100,0,"The job description does not specify a minimum experience, location is within the US, and no sponsorship restrictions are mentioned. The only distinct technical skill requested is Python, which the candidate possesses. Score = (1 matching skill / 1 total requested skill) * 100 = 100.",https://www.indeed.com/viewjob?jk=a100a212b0b6f4f6, | Flags: Clean ✅
100,0,"The job description does not specify a minimum number of years of experience, is not explicitly outside the US, and does not mention sponsorship restrictions. The only explicit technical skill requested from the candidate's list is Python, which the candidate possesses. (1 matching skill / 1 total requested skill) * 100 = 100.",https://jobs.ashbyhq.com/nova-talent/d6228032-4f03-4ce3-a97c-a53aec4ccf50, | Flags: Clean ✅
100,0,"The job 'NLP Expert Needed for Thesis Assistance' was evaluated. No explicit minimum experience was stated, so 'years_required' is 0. The location 'IIT Kanpur' refers to the project's origin, not a required candidate location outside the US, so 'location_flagged' is false. No sponsorship restrictions were mentioned, so 'sponsorship_flagged' is false. The job requests 3 distinct technical skills: Python, Data Science, and Natural Language Processing. The candidate possesses all 3: Python, NLP, and extensive Data Science related skills (LLMs, RAG, PyTorch, TensorFlow, Scikit-Learn). Score = (3 matching skills / 3 total requested skills) * 100 = 100.",https://www.truelancer.com/freelance-python-jobs, | Flags: Clean ✅
80,2,"The job requires 5 distinct technical skills (LLMs, Prompt Engineering, SQL, AI Model Evaluation, NLP). The candidate matches 4 of these (LLMs, Prompt Engineering (due to RAG), SQL, NLP). Score = (4/5) * 100 = 80.",https://remotive.com/remote/jobs/ai-ml/prompt-engineer-4082702, | Flags: Clean ✅
80,0,"The job description does not specify a minimum number of years of experience, so 'years_required' is 0. Location is within the US and no sponsorship restrictions were found. The job requests 5 distinct technical skills (SQL, R, Python, Machine Learning techniques, Git). The candidate possesses 4 of these skills (SQL, Python, Machine Learning techniques, Git). The score is calculated as (4 / 5) * 100 = 80.",https://jobs.climatedraft.org/companies/funga/jobs/71137999-data-scientist, | Flags: Clean ✅
57,0,"The job requires 7 distinct technical skills (Python, Agentic Frameworks, Knowledge Graphs/Ontologies, Vector Databases, RAG, LLMs, Google Cloud Platform). The candidate matches 4 of these (Python, Vector Databases, RAG, LLMs). Score = (4/7)*100 = 57.",https://www.indeed.com/viewjob?jk=716ff1a0df078d53, | Flags: Clean ✅
45,0,"No minimum years of experience were specified. The location (Georgia) is within the United States. No sponsorship or citizenship restrictions were mentioned. The job description requested 11 distinct technical skills (Python, FastAPI, Flask, PY-test, Git, PyTorch, TensorFlow, Hugging Face Transformers, LangChain, OpenAI API, Cloud concepts). The candidate's skills matched 5 of these (Python, Git, PyTorch, TensorFlow, AWS for Cloud concepts). Score = (5 / 11) * 100 = 45.",https://www.indeed.com/viewjob?jk=23d564980e77ee8f, | Flags: Clean ✅
44,1,"All knockout rules passed. The job requested 9 distinct technical skills (SQL, Python, Spark, Databricks, Adobe Analytics, Adobe Experience Platform, Source Control, CI/CD, Customer Journey Analytics). The candidate matched 4 of these (Python, SQL, Spark, Git). Score = (4/9) * 100 = 44.",https://dickssportinggoods.wd1.myworkdayjobs.com/dsg/job/remote---us/data-engineer-ii---real-time-behavioral-analytics--remote-_202603776, | Flags: Clean ✅
