score,skill_count,job_title,company,location,matches,visa_status,visa_bonus,posted,reason,apply_link
112,8,AI Engineer,TEKsystems,"San Diego, CA","['Python', 'LLMs', 'Machine Learning', 'PyTorch', 'TensorFlow', 'AWS', 'JavaScript', 'TypeScript']",Unknown,0,15 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.linkedin.com/jobs/view/ai-engineer-at-teksystems-4388709760?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
112,8,"ML Engineer, GO-AI Technology & Development Team",Amazon.com Services LLC,"Reading, MA","['Python', 'Java', 'C++', 'NLP', 'Machine Learning', 'PyTorch', 'Spark', 'Hadoop']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.indeed.com/viewjob?jk=f15c763dbdfb7bf7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
112,8,Machine Learning Engineer in NLP (Contract) - Remote,Cloudacio,"New York, NY","['LLMs', 'NLP', 'Machine Learning', 'Deep Learning', 'PyTorch', 'TensorFlow', 'BERT', 'AWS']",Unknown,0,22 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://cloudacio.freshteam.com/jobs/M3OeGezGiaI-/machine-learning-engineer-in-nlp-contract-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
112,8,"Applied Scientist, Safety ML","Twitch Interactive, Inc. - D48","Irvine, CA","['Python', 'SQL', 'NLP', 'Machine Learning', 'Deep Learning', 'PyTorch', 'TensorFlow', 'AWS']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.indeed.com/viewjob?jk=917980cb979f3630&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
112,8,Research Intern - AI Evaluation and Alignment - Full-time,Microsoft Corporation,"Redmond, WA","['Python', 'LLMs', 'Machine Learning', 'Deep Learning', 'PyTorch', 'TensorFlow', 'Git', 'HTML']",Unknown,0,13 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.snagajob.com/jobs/1217207573?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
98,7,Data Scientist - Utilization Management,CVS Health,Colorado,"['Python', 'SQL', 'LLMs', 'RAG', 'Machine Learning', 'Scikit-Learn', 'PyTorch']",Unknown,0,21 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.simplyhired.com/job/_sglmvSJ_VxVScjavjtZb3pE8T7i5N4WY9dWOLk6cJYX8ipqw9Sukg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
98,7,"Software Engineer, Enterprise AI",Scale AI,"New York, NY (+1 other)","['Python', 'SQL', 'LLMs', 'Machine Learning', 'AWS', 'JavaScript', 'TypeScript']",Unknown,0,22 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://jobs.accel.com/companies/scale-ai/jobs/71535005-software-engineer-enterprise-ai?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
84,6,Summer Internship – Research Department Machine Learning,MNC JOBS INFO,Anywhere,"['Python', 'Machine Learning', 'Scikit-Learn', 'PyTorch', 'TensorFlow', 'AWS']",Unknown,0,2 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://theelitejob.com/job/17321/summer-internship-%E2%80%93-research-department-machine-learning?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
84,6,Experienced Computer Vision Engineer for Biometric Measurement Project,Upwork,Anywhere,"['Python', 'Segmentation', 'Machine Learning', 'Deep Learning', 'TensorFlow', 'Git']",Unknown,0,24 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.upwork.com/freelance-jobs/apply/Experienced-Computer-Vision-Engineer-for-Biometric-Measurement-Project_~022035182183000460196/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
84,6,AI Scientist Intern,Wyze,"Kirkland, WA","['Python', 'Machine Learning', 'Deep Learning', 'Scikit-Learn', 'PyTorch', 'TensorFlow']",Unknown,0,16 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://echojobs.io/job/wyze-ai-scientist-internship-mgn3i?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
